Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-01-01;01:00;VIALE DIANA a mt. 150 Ex col. com;F;2;13,342569;38,160163
2018-01-01;03:30;VIALE REGIONE SICILIANA S.E. altezza del civico 4835;C;;13,379696;38,09062
2018-01-01;03:00;VIA ALLA FALCONARA nr. 66;C;;13,292086;38,117536
2018-01-01;08:00;VIA SAURO NAZARIO altezza del civico 11;F;1;13,332412;38,122549
2018-01-01;16:55;VIALE REGIONE SICILIANA N.O. in prossimit? di VIA PERGUSA;C;;13,32867;38,117358
2018-01-01;13:15;VIA MALASPINA intersezione con VIA SELINUNTE;F;1;13,347778;38,124183
2018-01-01;17:00;VIA OLIO DI LINO altezza del civico 12;F;1;13,326955;38,085677
2018-01-02;09:15;VIA MESSINA MARINE intersezione con VIA CAPPELLO SALVATORE;C;;13,383035;38,10679
2018-01-02;11:30;VIA SUNSERI GIUSEPPE di fronte al civico 4;C;;13,338802;38,108123
2018-01-02;07:50;VIA PANDOLFINI nr. 5;C;;13,307633;38,113376
2018-01-02;18:00;VIA BELGIO altezza del civico 13;C;;13,331055;38,151747
2018-01-02;18:30;VIA MAJALI GIULIANO altezza del civico 45;F;2;13,359745;38,109241
2018-01-02;22:00;VIA DANTE intersezione con VIA NARBONE ALESSIO;C;;13,34382;38,122068
2018-01-03;09:45;VIA GRAVINA AMMIRAGLIO intersezione con VIA ROMA;F;1;13,358613;38,125014
2018-01-03;14:00;PIAZZA MARINA intersezione VIA VITTORIO EMANUELE;F;2;13,36765;38,118175
2018-01-02;07:04;VIA POLLACI GIUSEPPE intersezione CORSO CALATAFIMI;C;;13,329774;38,102835
2018-01-02;11:00;VIA PIANO DI GALLO nr. 24;F;1;13,328453;38,208464
2018-01-03;15:30;VIALE CAMPANIA altezza del civico 5;F;1;13,340003;38,144234
2018-01-03;16:20;VIALE DE GASPERI ALCIDE altezza del civico 42;R;;13,3355;38,150141
2018-01-03;21:00;VIA RAMPOLLA MARIANO CARD. altezza del civico 17;C;;13,365065;38,149147
2018-01-03;21:15;VIA BASILE ERNESTO altezza (spec.) ponte brasa;C;;13,353556;38,10712
2018-01-04;01:00;VIA CRISPI FRANCESCO altezza (spec.) Amari E.;C;;13,362375;38,126988
2018-01-04;06:00;CORSO CALATAFIMI intersezione con VIA ONORATO CARMELO;F;2;13,345234;38,109118
